text,label
Fish Glue,1
JASMINE,0
TSUKUNE,1
Nasi Putih GG,1
KERUPUK KULIT,1
BAKPIA KACANG H,1
Sliders Set,1
AMBUSH CHS BUR,1
Pink Panther (P),0
GOCHUJANG,1
PAPER BAG BESAR,2
F.Wngr GES-HC,1
ICED CAPPUCINO JELLY,0
TORI BAITAN UDON,1
PEARL CHOCO TEA,0
Tanqueray NO 10 gls,0
Lemon iced tea,0
RB. SISIR PANDAN,1
CINNAMON SUGAR,1
Cheese Tea Hokkaido Melon,0
BIHUN GORENG AYAM,1
Discount BCA 15%,2
GYOZA AYAM GORENG,1
Nasi Putih,1
Steam Rice,1
50% CHICKEN ROYAL,1
REDBEAN BREAD,1
GREEN TEA LYCHEE,0
Ori Bento,1
<AYA BUN,1
VALINO DONNA,2
Chamomile,0
SOTO BETAWI + NASI,1
Thai Tea - ICE,0
A13.MIE ACP,1
Tahu Sandwidh,1
Nasi CampurBali,1
Nasi Uduk Ayam,1
PLASTIK BAG;: 000 PC,2
ICE BLACK COFFE,0
Tigger Roll,1
Jeruk Panas,0
AVOCADO COFFEE,0
Mush Fritters,1
CHUM CHURUM PEACH,0
WAJIK,1
KLEPON,1
YAMIN PANGSIT REBUS,1
Mamamia,1
-Chokoreto Cookies,1
KWT GR MGMSP,1
Teppan Seafood Udon,1
RAMES AYAM,1
ROTI KACANG MERAH,1
SAUSAGE BREAD,1
ABURA UDON (SPICY),1
Tairyos Salmon Maki,1
L C MESES,1
Ayam Suir Bali,1
LUMPIA,1
French Fries + FF,1
BLACK PEPPER MEATBALL,1
GURAME FILLET M ASAM MANIS,1
D.RING COKLAT,1
Iced Coffee,0
LgrBeer0.3L,0
TRUFFLE CREAM,1
SOONDUBU CHIGE,1
Avocado with Rock Salt and Cocoa Cream [R],0
GULAI CUMI,1
Berry Many-Low (P),0
Kailan hongkong,1
JERUK LEMON IMP,1
Hero,2
DORI KATSU,1
BOKKEPOOTJES,1
STRAWBERRY,1
Bihun (MLY),1
[MD] MINI CASTELLA CHOCOL,1
CHICKEN KATSU CURRY RICE,1
OYONG 3 TELOR =*MEDIUM*=,1
FILLET DORI,1
Fre ice grentea,0
Cha Keaw L...,0
GRAINS PAN BREAD,1
Soup Baso Ikan,1
Mantau - 2 pcs,1
